Pregunta,Respuesta,Extracción literal,Sección/Subsección,Origen,Complejidad
¿A qué distancia de la Tierra está el sistema Althéra?,"42,7 años luz","…a tan solo **42,7 años luz de la Tierra**…",1.3 Descubrimiento revolucionario…,párrafo,simple
¿Cuántas estrellas tiene el sistema Althéra?,Dos,…está compuesto por **dos estrellas principales**…,2.2 Disposición y dinámica…,párrafo,simple
¿Cuál es el tipo espectral de Althéra A?,F7V,…Althéra A… una enana amarilla-blanca de tipo F7V…,3.1 Clasificación espectral…,párrafo,simple
¿Cuál es el tipo espectral de Althéra B?,K2V,…Althéra B… una enana naranja de tipo K2V…,3.1 Clasificación espectral…,párrafo,simple
¿Cuál es el periodo orbital mutuo de las dos estrellas?,83 días,…en un periodo de **83 días**…,2.2 Disposición y dinámica…,párrafo,simple
¿Qué planeta se encuentra en el centro de la zona habitable?,Aurelia III,"…Aurelia III, en la zona habitable circumbinaria…",3.4 Interacción gravitatoria…,párrafo,simple
¿Qué planeta tiene anillos excepcionalmente anchos?,Zephyros IV,…rodeado por un sistema de anillos excepcionalmente ancho…,6.1 Zephyros IV…,párrafo,simple
¿Cuál es la inclinación axial de Krion V?,78°,…Inclinación axial: 78°…,6.2 Krion V…,tabla,simple
¿Cómo se llama la luna oceánica de Zephyros IV?,Selvaris,…Selvaris: Mundo oceánico cubierto por una capa de hielo…,7.2 Lunas oceánicas…,párrafo,simple
¿Qué cinturón de asteroides se encuentra entre Névalis II y Aurelia III?,Cinturón de Arges,…Cinturón de Arges… entre Névalis II y Aurelia III…,4.3 Cinturones de asteroides…,párrafo,simple
¿Qué fenómeno produce destellos visibles en los anillos de Zephyros IV?,Auroras polares dobles,…produce auroras polares dobles…,6.1 Zephyros IV…,párrafo,simple
¿Cuál es el principal gas de la atmósfera de Névalis II?,Dióxido de carbono,"…atmósfera densa, rica en dióxido de carbono…",5.2 Névalis II…,párrafo,simple
¿Cuál es la temperatura media de Aurelia III?,17 °C,…Temperatura media de superficie: 17 °C…,5.3 Aurelia III…,tabla,simple
¿Qué telescopio confirmó la existencia de cinco planetas principales?,Método de velocidad radial (Max Planck),…confirmó… la existencia de cinco planetas principales…,1.2 Confirmación…,párrafo,simple
¿Qué fenómeno visual se produce cuando una estrella pasa delante de la otra?,Eclipses parciales recíprocos,…eclipses parciales recíprocos…,3.4 Interacción gravitatoria…,párrafo,simple
¿Qué luna tiene órbita retrógrada e inestable?,Calther,…Calther: Satélite capturado… órbita retrógrada e inestable…,7.1 Lunas geológicamente activas,párrafo,simple
¿Qué planeta podría ser un planeta núcleo?,Thyros I,…podría ser un planeta núcleo…,5.1 Thyros I…,párrafo,simple
¿Qué misión detectó la atmósfera de Aurelia III?,LUVOIR-B,…la misión LUVOIR-B detectó la firma espectral…,1.3 Descubrimiento revolucionario…,párrafo,simple
¿Cuál es la edad estimada del sistema Althéra?,4.900 millones de años,…hace aproximadamente 4.900 millones de años…,3.3 Ciclo de vida…,párrafo,simple
¿Qué factores hacen que Aurelia III sea considerado potencialmente habitable?,"Está en la zona habitable circumbinaria, tiene océanos líquidos, atmósfera N2-O2 con metano y signos de desequilibrio químico","…en el centro de la zona habitable circumbinaria… océanos líquidos y atmósfera N2-O2… coexistencia de oxígeno, metano y óxido nitroso…",5.3 Aurelia III y 9. Habitabilidad y astrobiología,párrafo,compleja
¿Cómo interactúan las dos estrellas para influir en el clima de Aurelia III?,Sus ciclos combinados generan variaciones estacionales complejas y eclipses parciales que afectan la temperatura,"…estaciones largas y complejas, con “dobles equinoccios”… eclipses parciales… descensos temporales en la luz…",5.3 Aurelia III y 8. Fenómenos destacados,párrafo,compleja
¿Qué características hacen de Selvaris un objetivo astrobiológico prioritario?,"Océano subglacial salino, capa de hielo de 40 km, calor mareal e indicios de plumas con compuestos orgánicos",…capa de hielo de 40 km… océano subsuperficial salino… calor interno… plumas ricas en compuestos orgánicos…,7.2 Lunas oceánicas y 9. Habitabilidad,párrafo,compleja
¿Qué papel tienen Zephyros IV y Krion V en la protección de la zona habitable?,"Su masa y gravedad desvían cometas y asteroides, reduciendo impactos en los planetas interiores",…ejercen un papel protector al desviar cometas y asteroides…,4.2 Tipología de planetas,párrafo,compleja
¿Qué procesos podrían explicar el desequilibrio químico de Aurelia III sin necesidad de vida?,"Procesos abióticos complejos, incluida fotólisis catalizada por la radiación combinada de las dos estrellas",…procesos abióticos complejos —incluyendo fotólisis catalizada…,Adéndum debate científico,párrafo,compleja
¿Cómo influye la inclinación axial de Krion V en su meteorología?,"Provoca estaciones extremas y asimétricas, con tormentas hexagonales persistentes",…inclinación axial… provoca estaciones extremas y asimétricas… tormentas hexagonales persistentes…,6.2 Krion V,párrafo,compleja
¿Qué eventos visuales podrían tener un impacto cultural en hipotéticas civilizaciones de Aurelia III?,"Eclipses dobles con cambios en tonalidad y temperatura, lluvias de meteoros bicolores",…eclipses dobles… cambian tonalidades del cielo… lluvias de meteoros dobles…,8. Fenómenos destacados,párrafo,compleja
¿Qué mecanismos podrían mantener agua líquida en Calther?,"Flexión mareal durante su órbita excéntrica, generando puntos calientes internos",…puntos calientes… impulsados por flexión mareal…,Adéndum lunas menores,párrafo,compleja
¿Qué posibles orígenes tiene la inclinación axial de Krion V?,Impacto colosal temprano o interacciones gravitacionales con un cuerpo expulsado,…podría deberse a un impacto colosal… o a interacciones gravitacionales…,6.2 Krion V,párrafo,compleja
¿Cómo podría afectar la evolución futura de Althéra A a Aurelia III?,"Su fase de gigante roja provocará pérdida de masa y expansión de órbitas, desplazando la zona habitable hacia el interior",…gigante roja… pérdida de masa… expansión de órbitas… desplazará la zona habitable…,Adéndum destino estelar,párrafo,compleja
